Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
46449952,"Mar 30, 2013, 6:30:53 AM",Two Oceans Marathon 2013,Run,"Happy times :) All in the mind is a myth though, last few kms hurt!",20864,57.79,,,false,,Merrell Trail Gloves,activities/51430957.gpx.gz,31.0,,20864.0,20600.0,57798.6015625,11.040200233459473,,1544.7099609375,,0.0,299.9989929199219,80.37989807128906,0.10385099798440933,,,,,,,,,2412.42138671875,,,,,,,,,,,,,,,,0.0,,,63336.30078125,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
114304010,"Feb 18, 2014, 4:34:07 PM","18/02/2014 Cape Town, Western Cape, South Africa",Run,Devil's Peak ,4931,5.16,179.0,200,false,,Merrell Trail Gloves,activities/125013302.gpx.gz,31.0,,4931.0,3729.0,5166.0,4.199999809265137,,661.6610107421875,,413.5,971.9000244140625,49.900001525878906,0.01935729943215847,,,,,179.0,169.6580047607422,,,348.7740783691406,,21.0,200.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
136498304,"Apr 24, 2014, 5:04:56 AM","4/24/14 Cape Town, Western Cape, South Africa",Run,,3469,10.11,185.0,120,false,,Merrell Trail Gloves,activities/149375485.tcx.gz,31.0,,3469.0,3142.0,10117.2001953125,4.199999809265137,,102.13099670410156,,-1.2000000476837158,127.0999984741211,49.099998474121094,-0.3508880138397217,,,,,185.0,163.58900451660156,,,396.27117919921875,,,120.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
137612493,"May 4, 2014, 5:04:38 AM","5/4/14 Breede River DC, South Africa, WC, South Africa",Run,"",18195,35.37,,,,,Merrell Trail Gloves,activities/150591199.tcx.gz,31.0,,18195.0,17118.0,35372.69921875,7.5,,2227.39990234375,,222.1999969482422,1280.199951171875,50.0,0.0,,,118.0,72.86430358886719,,,,,1750.0865478515625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
140627939,"May 6, 2014, 6:04:11 PM","5/6/14 Cape Town, WC, South Africa",Run,,6979,2.69,177.0,60,false,,Merrell Trail Gloves,activities/153883207.tcx.gz,31.0,,6979.0,2291.0,2690.199951171875,2.0,,570.5170288085938,,189.60000610351562,762.7000122070312,49.900001525878906,20.983600616455078,,,122.0,56.06930160522461,177.0,117.67900085449219,,,227.23182678222656,,,60.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
140646559,"May 13, 2014, 2:51:51 PM","5/13/14 Cape Town, Western Cape, South Africa",Run,,1234,3.87,,,false,,Merrell Trail Gloves,activities/153903066.tcx.gz,31.0,,1234.0,1028.0,3875.199951171875,6.099999904632568,,21.069000244140625,,-0.8999999761581421,11.0,35.5,0.015483099967241287,,,116.0,92.00289916992188,,,,,151.12603759765625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
146170818,"May 20, 2014, 4:28:33 PM","20/05/2014 Cape Town, WC, South Africa",Run,,507,1.56,,,false,,Merrell Trail Gloves,activities/159955927.tcx.gz,31.0,,507.0,493.0,1565.5999755859375,4.599999904632568,,0.0,,0.0,93.30000305175781,0.0,1.2455300092697144,,,96.0,84.36109924316406,,,,,59.63226318359375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
146170828,"May 22, 2014, 2:37:02 PM","22/05/2014 Cape Town, Western Cape, South Africa",Run,,2973,8.16,,,false,,Merrell Trail Gloves,activities/159955928.tcx.gz,31.0,,2973.0,2327.0,8163.89990234375,5.0,,103.0999984741211,,0.0,14.100000381469727,30.0,-0.09554260224103928,,,117.0,89.88040161132812,,,,,318.0628662109375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
146285901,"May 27, 2014, 3:28:37 PM","27/05/2014 Cape Town, Western Cape, South Africa",Run,,9272,12.94,,,false,,Merrell Trail Gloves,activities/160082357.tcx.gz,31.0,,9272.0,5973.0,12942.599609375,4.900000095367432,,0.0,,0.0,754.5,49.79999923706055,-1.856660008430481,,,104.0,72.53469848632812,,,,,497.9271240234375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
151326468,"Jun 7, 2014, 4:08:57 AM","Outeniqua Quest - 07/06/2014 South Cape DC, South Africa, WC, South Africa",Run,Actually 108km - Suunto in Ultra mode not that accurate when zig-zagging :),66428,97.30,,,,,Merrell Trail Gloves,activities/165555593.tcx.gz,69.0,,66428.0,34186.0,97303.296875,3.200000047683716,,3583.5,,138.0,814.7000122070312,35.099998474121094,-0.02774829976260662,,,114.0,69.52140045166016,,,,,8887.83203125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,52424.0,,,,,,,,,,,,,,,,,,,,,,,,""
